14,14,5,4,3
14,14,5,4,2
14,14,5,4,6
14,14,5,3,2
14,14,5,3,6
14,14,5,2,6
14,14,4,3,2
14,14,4,3,6
14,14,4,2,6
14,14,3,2,6
14,5,5,4,3
14,5,5,4,2
14,5,5,4,6
14,5,5,3,2
14,5,5,3,6
14,5,5,2,6
14,5,4,4,3
14,5,4,4,2
14,5,4,4,6
14,5,4,3,3
14,5,4,3,2
14,5,4,3,6
14,5,4,2,2
14,5,4,2,6
14,5,4,6,6
14,5,3,3,2
14,5,3,3,6
14,5,3,2,2
14,5,3,2,6
14,5,3,6,6
14,5,2,2,6
14,5,2,6,6
14,4,4,3,2
14,4,4,3,6
14,4,4,2,6
14,4,3,3,2
14,4,3,3,6
14,4,3,2,2
14,4,3,2,6
14,4,3,6,6
14,4,2,2,6
14,4,2,6,6
14,3,3,2,6
14,3,2,2,6
14,3,2,6,6
